[train_arena] n_steps-512_s2
[train_arena] {
  "control_style": "direct",
  "policy": "MlpPolicy",
  "started": "2026-09-12T00:30:27",
  "git_commit": "fc2cf4b",
  "algorithm": "PPO",
  "total_timesteps": 100000,
  "n_envs": 8,
  "learning_rate": 0.0003,
  "n_steps": 512,
  "batch_size": 512,
  "gamma": 0.99,
  "ent_coef": 0.005,
  "net_arch": [
    64,
    64
  ],
  "seed": 2,
  "run_name": "n_steps-512_s2",
  "mechanics": false,
  "observation_dim": 20,
  "mechanics_config": null,
  "model_path": "/Users/hanhdo/Documents/RMIT/Semester 11/Games and AI Techniques/assignments/A3/A3_TDuong/logs/arena_sweep/models/ppo_direct.zip",
  "ignored_hyperparameters": []
}
Using cpu device
Logging to /Users/hanhdo/Documents/RMIT/Semester 11/Games and AI Techniques/assignments/A3/A3_TDuong/logs/arena_sweep/n_steps-512_s2/tb_2
------------------------------------
| behaviour/            |          |
|    damage_taken       | 5        |
|    enemies_killed     | 2        |
|    episode_length     | 238      |
|    phase_reached      | 1        |
|    spawners_destroyed | 0.0833   |
|    survival_rate      | 0        |
| rollout/              |          |
|    ep_len_mean        | 238      |
|    ep_rew_mean        | -12.5    |
| time/                 |          |
|    fps                | 21963    |
|    iterations         | 1        |
|    time_elapsed       | 0        |
|    total_timesteps    | 4096     |
------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 2.13        |
|    episode_length       | 244         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.0645      |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 244         |
|    ep_rew_mean          | -12.5       |
| time/                   |             |
|    fps                  | 17293       |
|    iterations           | 2           |
|    time_elapsed         | 0           |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.003435442 |
|    clip_fraction        | 0.00518     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | -0.122      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.12        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.003      |
|    value_loss           | 2.63        |
-----------------------------------------
------------------------------------------
| behaviour/              |              |
|    damage_taken         | 5            |
|    enemies_killed       | 1.94         |
|    episode_length       | 246          |
|    phase_reached        | 1            |
|    spawners_destroyed   | 0.0426       |
|    survival_rate        | 0            |
| rollout/                |              |
|    ep_len_mean          | 246          |
|    ep_rew_mean          | -12.8        |
| time/                   |              |
|    fps                  | 16172        |
|    iterations           | 3            |
|    time_elapsed         | 0            |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0016854943 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.79        |
|    explained_variance   | 0.121        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.08         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00183     |
|    value_loss           | 3.16         |
------------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 1.84        |
|    episode_length       | 242         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.0469      |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 242         |
|    ep_rew_mean          | -12.8       |
| time/                   |             |
|    fps                  | 15605       |
|    iterations           | 4           |
|    time_elapsed         | 1           |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.004621193 |
|    clip_fraction        | 0.0146      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | 0.435       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.595       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00426    |
|    value_loss           | 1.79        |
-----------------------------------------
------------------------------------------
| behaviour/              |              |
|    damage_taken         | 5            |
|    enemies_killed       | 1.97         |
|    episode_length       | 248          |
|    phase_reached        | 1            |
|    spawners_destroyed   | 0.038        |
|    survival_rate        | 0            |
| rollout/                |              |
|    ep_len_mean          | 248          |
|    ep_rew_mean          | -12.8        |
| time/                   |              |
|    fps                  | 15361        |
|    iterations           | 5            |
|    time_elapsed         | 1            |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0064561777 |
|    clip_fraction        | 0.0163       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.78        |
|    explained_variance   | 0.646        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.705        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00349     |
|    value_loss           | 1.53         |
------------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 1.95        |
|    episode_length       | 250         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.0316      |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 250         |
|    ep_rew_mean          | -12.9       |
| time/                   |             |
|    fps                  | 15138       |
|    iterations           | 6           |
|    time_elapsed         | 1           |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.011622286 |
|    clip_fraction        | 0.0585      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.76       |
|    explained_variance   | 0.753       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.367       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0064     |
|    value_loss           | 0.94        |
-----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 1.84        |
|    episode_length       | 248         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.02        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 248         |
|    ep_rew_mean          | -13         |
| time/                   |             |
|    fps                  | 15059       |
|    iterations           | 7           |
|    time_elapsed         | 1           |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.007368054 |
|    clip_fraction        | 0.016       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.75       |
|    explained_variance   | 0.85        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.292       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00396    |
|    value_loss           | 0.709       |
-----------------------------------------
------------------------------------------
| behaviour/              |              |
|    damage_taken         | 5            |
|    enemies_killed       | 1.72         |
|    episode_length       | 248          |
|    phase_reached        | 1            |
|    spawners_destroyed   | 0.01         |
|    survival_rate        | 0            |
| rollout/                |              |
|    ep_len_mean          | 248          |
|    ep_rew_mean          | -13.2        |
| time/                   |              |
|    fps                  | 15088        |
|    iterations           | 8            |
|    time_elapsed         | 2            |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0067782337 |
|    clip_fraction        | 0.017        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.73        |
|    explained_variance   | 0.9          |
|    learning_rate        | 0.0003       |
|    loss                 | 0.218        |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00283     |
|    value_loss           | 0.572        |
------------------------------------------
------------------------------------------
| behaviour/              |              |
|    damage_taken         | 5            |
|    enemies_killed       | 1.88         |
|    episode_length       | 253          |
|    phase_reached        | 1            |
|    spawners_destroyed   | 0.02         |
|    survival_rate        | 0            |
| rollout/                |              |
|    ep_len_mean          | 253          |
|    ep_rew_mean          | -13.1        |
| time/                   |              |
|    fps                  | 15002        |
|    iterations           | 9            |
|    time_elapsed         | 2            |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0065274583 |
|    clip_fraction        | 0.0355       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.7         |
|    explained_variance   | 0.919        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.258        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00559     |
|    value_loss           | 0.574        |
------------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 2.06        |
|    episode_length       | 262         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.02        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 262         |
|    ep_rew_mean          | -13         |
| time/                   |             |
|    fps                  | 14933       |
|    iterations           | 10          |
|    time_elapsed         | 2           |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.010618873 |
|    clip_fraction        | 0.0809      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.67       |
|    explained_variance   | 0.859       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.297       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00964    |
|    value_loss           | 0.731       |
-----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 2.43        |
|    episode_length       | 278         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.04        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 278         |
|    ep_rew_mean          | -12.6       |
| time/                   |             |
|    fps                  | 14879       |
|    iterations           | 11          |
|    time_elapsed         | 3           |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.009403134 |
|    clip_fraction        | 0.0594      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.63       |
|    explained_variance   | 0.892       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.213       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00739    |
|    value_loss           | 0.525       |
-----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 2.71        |
|    episode_length       | 283         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.04        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 283         |
|    ep_rew_mean          | -12.4       |
| time/                   |             |
|    fps                  | 14805       |
|    iterations           | 12          |
|    time_elapsed         | 3           |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.007511222 |
|    clip_fraction        | 0.0565      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | 0.763       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.45        |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00606    |
|    value_loss           | 0.919       |
-----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 3.17        |
|    episode_length       | 300         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.06        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | -12         |
| time/                   |             |
|    fps                  | 14667       |
